question_id,question_domain,question_type,average_answer_score,average_rationale_score,wA,wR,Final Score,Explanation Code
67,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
68,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
69,Data Structures and Algorithms,MC,0.0,0.5,0.0,0.25,0.0,"E1, E3"
70,Data Structures and Algorithms,MC,2.0,1.0,1.0,0.5,32.5,E3
71,Data Structures and Algorithms,MC,0.0,1.5,0.0,0.75,0.0,"E0, E3"
72,Data Structures and Algorithms,FB,0.0,1.0,0.0,0.5,0.0,"E3, E9"
73,Data Structures and Algorithms,MC,0.0,1.5,0.0,0.75,0.0,"E0, E3"
74,Data Structures and Algorithms,MC,0.0,0.5,0.0,0.25,0.0,"E1, E3"
75,Data Structures and Algorithms,MS,0.0,0.5,0.0,0.25,0.0,E1
76,Data Structures and Algorithms,MC,0.0,0.5,0.0,0.25,0.0,E1
77,Data Structures and Algorithms,MC,0.0,1.0,0.0,0.5,0.0,E3
78,Data Structures and Algorithms,MC,0.0,1.0,0.0,0.5,0.0,"E1, E3"
79,Data Structures and Algorithms,MC,0.0,0.5,0.0,0.25,0.0,E1
80,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
81,Data Structures and Algorithms,FB,2.0,2.0,1.0,1.0,100.0,E0
82,Data Structures and Algorithms,FB,0.0,1.0,0.0,0.5,0.0,"E1, E5"
83,Data Structures and Algorithms,MC,0.0,0.5,0.0,0.25,0.0,"E1, E3"
84,Data Structures and Algorithms,MC,0.0,0.5,0.0,0.25,0.0,"E1, E3"
85,Data Structures and Algorithms,MC,0.0,0.5,0.0,0.25,0.0,"E1, E5"
86,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
87,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
88,Data Structures and Algorithms,MC,0.0,0.5,0.0,0.25,0.0,"E3, E7"
89,Data Structures and Algorithms,FB,0.0,0.0,0.0,0.0,0.0,E1
90,Data Structures and Algorithms,MC,0.0,1.0,0.0,0.5,0.0,E3
91,Data Structures and Algorithms,MS,0.0,0.5,0.0,0.25,0.0,E1
92,Data Structures and Algorithms,OE,1.0,2.0,0.5,1.0,32.5,E0
93,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
94,Data Structures and Algorithms,OE,1.0,1.5,0.5,0.75,41.25,"E0, E9"
95,Databases and Information Systems,OE,2.0,2.0,1.0,1.0,100.0,E0
96,Databases and Information Systems,OE,1.0,1.0,0.5,0.5,50.0,E1
97,Databases and Information Systems,FB,1.0,1.0,0.5,0.5,50.0,E3
98,Databases and Information Systems,FB,1.5,2.0,0.75,1.0,66.25,E0
99,Databases and Information Systems,OE,2.0,2.0,1.0,1.0,100.0,E0
100,Databases and Information Systems,OE,1.0,1.5,0.5,0.75,41.25,"E0, E3"
101,Databases and Information Systems,OE,1.0,1.0,0.5,0.5,50.0,"E1, E3"
102,Databases and Information Systems,OE,0.0,1.0,0.0,0.5,0.0,E3
103,Databases and Information Systems,OE,2.0,1.5,1.0,0.75,66.25,"E0, E3"
104,Databases and Information Systems,OE,1.0,1.0,0.5,0.5,50.0,E3
105,Databases and Information Systems,OE,2.0,2.0,1.0,1.0,100.0,E0
106,Databases and Information Systems,TF,2.0,1.5,1.0,0.75,66.25,"E0, E3"
107,Databases and Information Systems,TF,0.0,0.5,0.0,0.25,0.0,E1
108,Databases and Information Systems,TF,2.0,0.0,1.0,0.0,0.0,"E4, E7"
109,Databases and Information Systems,TF,2.0,1.5,1.0,0.75,66.25,"E0, E3"
110,Databases and Information Systems,TF,2.0,1.5,1.0,0.75,66.25,"E0, E3"
111,Databases and Information Systems,TF,0.0,0.5,0.0,0.25,0.0,E1
112,Databases and Information Systems,TF,2.0,1.0,1.0,0.5,32.5,E3
113,Databases and Information Systems,TF,2.0,1.5,1.0,0.75,66.25,"E0, E3"
114,Databases and Information Systems,OE,0.5,0.5,0.25,0.25,25.0,E1
115,Databases and Information Systems,OE,1.0,1.0,0.5,0.5,50.0,E3
116,Databases and Information Systems,OE,2.0,2.0,1.0,1.0,100.0,E0
117,Software Engineering and AI Fundamentals,OE,2.0,1.5,1.0,0.75,66.25,"E0, E3"
118,Software Engineering and AI Fundamentals,OE,1.0,1.0,0.5,0.5,50.0,"E1, E3"
119,Software Engineering and AI Fundamentals,OE,1.0,1.0,0.5,0.5,50.0,E3
120,Software Engineering and AI Fundamentals,OE,1.0,0.5,0.5,0.25,16.25,E1
121,Software Engineering and AI Fundamentals,OE,2.0,1.5,1.0,0.75,66.25,"E0, E3"
122,Software Engineering and AI Fundamentals,OE,1.5,2.0,0.75,1.0,66.25,E0
123,Software Engineering and AI Fundamentals,OE,1.0,1.0,0.5,0.5,50.0,E3
124,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
125,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
126,Software Engineering and AI Fundamentals,MC,2.0,1.5,1.0,0.75,66.25,"E0, E3"
127,Software Engineering and AI Fundamentals,FB,2.0,2.0,1.0,1.0,100.0,E0
128,Software Engineering and AI Fundamentals,MS,0.0,0.5,0.0,0.25,0.0,"E1, E3"
129,Software Engineering and AI Fundamentals,FB,2.0,2.0,1.0,1.0,100.0,E0
130,Software Engineering and AI Fundamentals,FB,2.0,2.0,1.0,1.0,100.0,E0
131,Software Engineering and AI Fundamentals,FB,0.0,0.5,0.0,0.25,0.0,E1
132,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
133,Software Engineering and AI Fundamentals,FB,2.0,2.0,1.0,1.0,100.0,E0
134,Software Engineering and AI Fundamentals,FB,2.0,2.0,1.0,1.0,100.0,E0
135,Software Engineering and AI Fundamentals,MS,0.0,2.0,0.0,1.0,0.0,E0
136,Software Engineering and AI Fundamentals,MC,0.0,0.5,0.0,0.25,0.0,E1
137,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
138,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
139,Software Engineering and AI Fundamentals,OE,2.0,1.0,1.0,0.5,32.5,"E1, E3"
140,Software Engineering and AI Fundamentals,OE,1.0,2.0,0.5,1.0,32.5,E0
141,Software Engineering and AI Fundamentals,OE,1.0,1.0,0.5,0.5,50.0,"E3, E9"
142,Software Engineering and AI Fundamentals,OE,1.0,1.5,0.5,0.75,41.25,"E0, E3"
143,Software Engineering and AI Fundamentals,OE,1.5,1.0,0.75,0.5,41.25,E1
144,Software Engineering and AI Fundamentals,OE,1.0,1.5,0.5,0.75,41.25,"E0, E3"
145,Software Engineering and AI Fundamentals,OE,1.0,1.5,0.5,0.75,41.25,"E0, E3"
146,Software Engineering and AI Fundamentals,OE,1.0,1.0,0.5,0.5,50.0,"E3, E9"
147,Software Engineering and AI Fundamentals,OE,2.0,1.5,1.0,0.75,66.25,"E0, E3"
148,Software Engineering and AI Fundamentals,MC,2.0,1.0,1.0,0.5,32.5,E1
149,Software Engineering and AI Fundamentals,OE,1.0,1.0,0.5,0.5,50.0,"E1, E3"
150,Software Engineering and AI Fundamentals,OE,1.5,1.5,0.75,0.75,75.0,"E0, E3"
151,Software Engineering and AI Fundamentals,OE,2.0,1.0,1.0,0.5,32.5,E3
152,Software Engineering and AI Fundamentals,OE,2.0,1.0,1.0,0.5,32.5,"E3, E9"
153,Software Engineering and AI Fundamentals,OE,1.0,1.5,0.5,0.75,41.25,"E0, E3"
154,Software Engineering and AI Fundamentals,MC,0.0,0.5,0.0,0.25,0.0,"E1, E2"
155,Software Engineering and AI Fundamentals,OE,2.0,2.0,1.0,1.0,100.0,E0
156,Software Engineering and AI Fundamentals,OE,1.5,2.0,0.75,1.0,66.25,E0
157,Software Engineering and AI Fundamentals,MC,0.0,0.5,0.0,0.25,0.0,"E2, E3"
158,Software Engineering and AI Fundamentals,MC,0.0,0.5,0.0,0.25,0.0,E1
159,Software Engineering and AI Fundamentals,MC,0.0,1.0,0.0,0.5,0.0,E3
160,Software Engineering and AI Fundamentals,MC,0.0,0.5,0.0,0.25,0.0,E1
161,Software Engineering and AI Fundamentals,OE,0.0,0.5,0.0,0.25,0.0,E1
162,Software Engineering and AI Fundamentals,OE,1.0,1.5,0.5,0.75,41.25,"E0, E3"
163,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
164,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
165,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
166,Software Engineering and AI Fundamentals,MC,2.0,2.0,1.0,1.0,100.0,E0
167,Software Engineering and AI Fundamentals,MC,0.0,0.5,0.0,0.25,0.0,"E1, E3"
168,Computer Systems and Architecture,TF,2.0,1.5,1.0,0.75,66.25,"E0, E3"
169,Computer Systems and Architecture,TF,2.0,1.0,1.0,0.5,32.5,"E1, E3"
170,Computer Systems and Architecture,TF,0.0,0.0,0.0,0.0,0.0,E1
171,Computer Systems and Architecture,TF,2.0,1.5,1.0,0.75,66.25,"E0, E3"
172,Computer Systems and Architecture,TF,0.0,0.0,0.0,0.0,0.0,E1
173,Computer Systems and Architecture,TF,0.0,1.0,0.0,0.5,0.0,E3
174,Computer Systems and Architecture,TF,2.0,1.0,1.0,0.5,32.5,"E1, E3"
175,Data Structures and Algorithms,TF,2.0,0.0,1.0,0.0,0.0,E1
176,Data Structures and Algorithms,TF,0.0,1.0,0.0,0.5,0.0,E1
177,Data Structures and Algorithms,TF,0.0,1.0,0.0,0.5,0.0,"E1, E3"
178,Data Structures and Algorithms,TF,2.0,1.5,1.0,0.75,66.25,"E0, E11"
179,Data Structures and Algorithms,TF,2.0,0.0,1.0,0.0,0.0,"E1, E2"
180,Data Structures and Algorithms,TF,0.0,1.0,0.0,0.5,0.0,"E1, E3"
181,Data Structures and Algorithms,TF,2.0,1.5,1.0,0.75,66.25,"E0, E1"
182,Computer Systems and Architecture,MS,0.0,0.5,0.0,0.25,0.0,"E1, E3"
183,Computer Systems and Architecture,MS,2.0,1.5,1.0,0.75,66.25,"E0, E1"
184,Computer Systems and Architecture,FB,1.0,1.0,0.5,0.5,50.0,E3
185,Computer Systems and Architecture,FB,0.5,1.0,0.25,0.5,16.25,"E1, E3"
186,Computer Systems and Architecture,FB,2.0,2.0,1.0,1.0,100.0,E0
187,Computer Systems and Architecture,FB,1.0,2.0,0.5,1.0,32.5,E0
188,Computer Systems and Architecture,FB,0.5,1.0,0.25,0.5,16.25,"E1, E3"
189,Computer Systems and Architecture,FB,0.0,1.0,0.0,0.5,0.0,E3
190,Computer Systems and Architecture,FB,0.0,1.0,0.0,0.5,0.0,E3
191,Computer Systems and Architecture,FB,1.0,2.0,0.5,1.0,32.5,E0
192,Data Structures and Algorithms,TF,2.0,1.0,1.0,0.5,32.5,E3
193,Data Structures and Algorithms,TF,2.0,1.0,1.0,0.5,32.5,"E3, E7"
194,Databases and Information Systems,MS,0.0,1.0,0.0,0.5,0.0,E3
195,Databases and Information Systems,MS,1.0,1.0,0.5,0.5,50.0,"E1, E3"
196,Databases and Information Systems,MS,0.0,1.0,0.0,0.5,0.0,E1
197,Computer Systems and Architecture,FB,0.0,1.5,0.0,0.75,0.0,"E0, E3"
198,Computer Systems and Architecture,MS,0.0,1.0,0.0,0.5,0.0,"E1, E3"
199,Computer Systems and Architecture,MS,0.0,1.0,0.0,0.5,0.0,"E1, E3"
200,Databases and Information Systems,FB,2.0,0.5,1.0,0.25,0.0,"E1, E3"
201,Databases and Information Systems,FB,0.5,1.0,0.25,0.5,16.25,E1
202,Databases and Information Systems,MS,0.0,1.0,0.0,0.5,0.0,"E1, E3"
203,Databases and Information Systems,MS,0.0,1.0,0.0,0.5,0.0,"E1, E3"
204,Databases and Information Systems,FB,0.0,0.5,0.0,0.25,0.0,"E1, E3"
205,Databases and Information Systems,MC,0.0,0.5,0.0,0.25,0.0,E1
206,Databases and Information Systems,FB,2.0,1.5,1.0,0.75,66.25,"E0, E1"
207,Databases and Information Systems,TF,2.0,1.0,1.0,0.5,32.5,E3
208,Databases and Information Systems,TF,0.0,0.0,0.0,0.0,0.0,E1
209,Databases and Information Systems,TF,0.0,0.0,0.0,0.0,0.0,"E1, E2"
210,Databases and Information Systems,FB,1.0,1.0,0.5,0.5,50.0,E1
211,Databases and Information Systems,FB,0.0,1.0,0.0,0.5,0.0,E3
212,Databases and Information Systems,MS,0.0,1.0,0.0,0.5,0.0,"E1, E3"
213,Databases and Information Systems,MS,0.0,1.0,0.0,0.5,0.0,E1
214,Databases and Information Systems,MS,2.0,2.0,1.0,1.0,100.0,E0
215,Databases and Information Systems,FB,0.5,1.5,0.25,0.75,7.5,"E0, E1"
216,Databases and Information Systems,FB,0.0,1.0,0.0,0.5,0.0,"E1, E3"
217,Databases and Information Systems,FB,0.0,1.0,0.0,0.5,0.0,"E1, E3"
218,Databases and Information Systems,FB,0.0,1.0,0.0,0.5,0.0,"E1, E3"
219,Databases and Information Systems,FB,0.0,1.0,0.0,0.5,0.0,"E1, E3"
220,Data Structures and Algorithms,MS,1.0,1.0,0.5,0.5,50.0,"E1, E3"
221,Data Structures and Algorithms,MS,0.0,0.5,0.0,0.25,0.0,E1
222,Data Structures and Algorithms,MS,1.0,2.0,0.5,1.0,32.5,E0
223,Data Structures and Algorithms,MC,2.0,2.0,1.0,1.0,100.0,E0
224,Data Structures and Algorithms,MC,0.0,1.0,0.0,0.5,0.0,E1
225,Data Structures and Algorithms,MC,0.0,0.5,0.0,0.25,0.0,"E1, E3"
226,Data Structures and Algorithms,MC,2.0,0.5,1.0,0.25,0.0,"E3, E7"
227,Data Structures and Algorithms,MC,0.0,0.5,0.0,0.25,0.0,E1
228,Data Structures and Algorithms,FB,0.0,0.5,0.0,0.25,0.0,E1
229,Data Structures and Algorithms,FB,1.5,1.0,0.75,0.5,41.25,"E1, E3"
230,Data Structures and Algorithms,FB,2.0,2.0,1.0,1.0,100.0,E0
231,Data Structures and Algorithms,FB,1.0,2.0,0.5,1.0,32.5,E0
232,Data Structures and Algorithms,MS,0.0,2.0,0.0,1.0,0.0,E0
233,Data Structures and Algorithms,FB,0.0,1.0,0.0,0.5,0.0,E3
234,Data Structures and Algorithms,MS,2.0,1.5,1.0,0.75,66.25,"E0, E1"
235,Data Structures and Algorithms,MS,0.0,1.0,0.0,0.5,0.0,"E1, E3"
236,Computer Systems and Architecture,MC,2.0,1.0,1.0,0.5,32.5,E3
237,Computer Systems and Architecture,MC,2.0,2.0,1.0,1.0,100.0,E0
238,Computer Systems and Architecture,MS,0.0,1.0,0.0,0.5,0.0,"E1, E3"
239,Computer Systems and Architecture,MS,0.0,1.5,0.0,0.75,0.0,"E0, E1"
240,Computer Systems and Architecture,MS,0.0,0.5,0.0,0.25,0.0,E1
241,Computer Systems and Architecture,MS,0.0,1.0,0.0,0.5,0.0,"E1, E3"
242,Computer Systems and Architecture,MS,0.0,1.5,0.0,0.75,0.0,"E0, E3"
243,Computer Systems and Architecture,MC,2.0,2.0,1.0,1.0,100.0,E0
244,Computer Systems and Architecture,MC,0.0,0.5,0.0,0.25,0.0,E1
245,Computer Systems and Architecture,FB,2.0,2.0,1.0,1.0,100.0,E0
246,Computer Systems and Architecture,FB,0.0,1.0,0.0,0.5,0.0,E3
247,Computer Systems and Architecture,MS,2.0,1.0,1.0,0.5,32.5,"E1, E3"
248,Computer Systems and Architecture,MS,0.0,1.0,0.0,0.5,0.0,"E1, E3"
249,Computer Systems and Architecture,MS,0.0,1.0,0.0,0.5,0.0,"E1, E3"
250,Computer Systems and Architecture,MS,1.0,1.0,0.5,0.5,50.0,"E1, E3"
251,Computer Systems and Architecture,FB,0.5,0.5,0.25,0.25,25.0,"E1, E8"
252,Software Engineering and AI Fundamentals,MC,0.0,0.5,0.0,0.25,0.0,E1
253,Software Engineering and AI Fundamentals,FB,0.0,1.0,0.0,0.5,0.0,E5
254,Software Engineering and AI Fundamentals,FB,0.0,1.0,0.0,0.5,0.0,"E1, E3"
255,Data Structures and Algorithms,MC,0.0,0.5,0.0,0.25,0.0,E1
256,Databases and Information Systems,FB,0.5,1.0,0.25,0.5,16.25,"E1, E8"
257,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
258,Computer Systems and Architecture,TF,0.0,1.0,0.0,0.5,0.0,"E1, E3"
259,Software Engineering and AI Fundamentals,OE,1.0,0.5,0.5,0.25,16.25,"E1, E3"
260,Software Engineering and AI Fundamentals,MS,2.0,2.0,1.0,1.0,100.0,E0
261,Data Structures and Algorithms,MS,0.0,1.0,0.0,0.5,0.0,E1
262,Data Structures and Algorithms,TF,0.0,0.0,0.0,0.0,0.0,"E1, E2"
263,Data Structures and Algorithms,MS,2.0,2.0,1.0,1.0,100.0,E0
264,Software Engineering and AI Fundamentals,MS,0.0,1.5,0.0,0.75,0.0,"E0, E3"
265,Data Structures and Algorithms,FB,2.0,2.0,1.0,1.0,100.0,E0
266,Data Structures and Algorithms,TF,2.0,2.0,1.0,1.0,100.0,E0
267,Computer Systems and Architecture,TF,2.0,2.0,1.0,1.0,100.0,E0
268,Data Structures and Algorithms,FB,0.0,0.5,0.0,0.25,0.0,E1
269,Cybersecurity,TF,2.0,2.0,1.0,1.0,100.0,E0
270,Databases and Information Systems,OE,1.5,1.5,0.75,0.75,75.0,"E0, E3"
271,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
272,Data Structures and Algorithms,MC,2.0,0.5,1.0,0.25,0.0,E1
273,Databases and Information Systems,OE,1.0,1.0,0.5,0.5,50.0,E1
274,Computer Systems and Architecture,FB,2.0,2.0,1.0,1.0,100.0,E0
275,Cybersecurity,OE,1.0,1.0,0.5,0.5,50.0,E3
276,Software Engineering and AI Fundamentals,OE,1.0,1.5,0.5,0.75,41.25,"E0, E3"
277,Databases and Information Systems,OE,0.0,2.0,0.0,1.0,0.0,E0
278,Databases and Information Systems,MC,0.0,1.0,0.0,0.5,0.0,E1
279,Data Structures and Algorithms,OE,1.0,1.0,0.5,0.5,50.0,E3
280,Data Structures and Algorithms,TF,0.0,2.0,0.0,1.0,0.0,E0
281,Software Engineering and AI Fundamentals,MS,0.0,2.0,0.0,1.0,0.0,E0
282,Computer Systems and Architecture,TF,0.0,1.0,0.0,0.5,0.0,"E1, E3"
283,Computer Systems and Architecture,MC,2.0,2.0,1.0,1.0,100.0,E0
284,Cybersecurity,MC,0.0,0.5,0.0,0.25,0.0,E1
285,Data Structures and Algorithms,MS,0.0,1.0,0.0,0.5,0.0,E1
286,Computer Systems and Architecture,OE,1.0,1.0,0.5,0.5,50.0,"E3, E9"
287,Data Structures and Algorithms,MS,0.0,1.5,0.0,0.75,0.0,"E0, E3"
288,Data Structures and Algorithms,MS,0.0,1.0,0.0,0.5,0.0,"E1, E3"
289,Data Structures and Algorithms,FB,2.0,1.0,1.0,0.5,32.5,"E1, E3"
290,Databases and Information Systems,OE,1.0,1.0,0.5,0.5,50.0,E3
291,Software Engineering and AI Fundamentals,OE,1.5,1.5,0.75,0.75,75.0,"E0, E3"
292,Computer Systems and Architecture,FB,0.0,0.5,0.0,0.25,0.0,"E1, E3"
293,Databases and Information Systems,MC,2.0,2.0,1.0,1.0,100.0,E0
294,Databases and Information Systems,MS,2.0,2.0,1.0,1.0,100.0,E0
295,Computer Systems and Architecture,MS,0.0,1.5,0.0,0.75,0.0,"E0, E3"
296,Software Engineering and AI Fundamentals,FB,1.0,1.5,0.5,0.75,41.25,"E0, E3"
297,Data Structures and Algorithms,FB,0.5,0.5,0.25,0.25,25.0,E1
298,Computer Systems and Architecture,OE,1.0,1.0,0.5,0.5,50.0,E3
299,Cybersecurity,TF,0.0,1.0,0.0,0.5,0.0,"E1, E3"
300,Software Engineering and AI Fundamentals,MS,0.0,2.0,0.0,1.0,0.0,E0
301,Data Structures and Algorithms,TF,2.0,0.5,1.0,0.25,0.0,E1
302,Software Engineering and AI Fundamentals,FB,0.0,0.5,0.0,0.25,0.0,E1
303,Computer Systems and Architecture,FB,2.0,2.0,1.0,1.0,100.0,E0
304,Computer Systems and Architecture,MC,0.0,1.0,0.0,0.5,0.0,"E0, E1"
305,Cybersecurity,FB,2.0,1.0,1.0,0.5,32.5,E3
306,Software Engineering and AI Fundamentals,MS,2.0,2.0,1.0,1.0,100.0,E0
307,Databases and Information Systems,MS,2.0,1.5,1.0,0.75,66.25,"E0, E3"
308,Computer Systems and Architecture,FB,2.0,2.0,1.0,1.0,100.0,E0
309,Data Structures and Algorithms,MS,0.0,1.0,0.0,0.5,0.0,E1
310,Cybersecurity,MS,2.0,2.0,1.0,1.0,100.0,E0
311,Software Engineering and AI Fundamentals,TF,0.0,1.0,0.0,0.5,0.0,E1
312,Computer Systems and Architecture,FB,0.5,0.5,0.25,0.25,25.0,E1
313,Software Engineering and AI Fundamentals,TF,2.0,2.0,1.0,1.0,100.0,E0
314,Data Structures and Algorithms,TF,0.0,1.0,0.0,0.5,0.0,E3
315,Computer Systems and Architecture,FB,0.0,0.5,0.0,0.25,0.0,"E1, E3"
316,Databases and Information Systems,TF,0.0,0.5,0.0,0.25,0.0,E1
317,Databases and Information Systems,MS,2.0,1.5,1.0,0.75,66.25,"E0, E3"
318,Data Structures and Algorithms,FB,2.0,2.0,1.0,1.0,100.0,E0
319,Computer Systems and Architecture,FB,0.0,0.5,0.0,0.25,0.0,E1
320,Software Engineering and AI Fundamentals,TF,0.0,0.5,0.0,0.25,0.0,E1
321,Computer Systems and Architecture,MC,0.0,0.5,0.0,0.25,0.0,"E1, E3"
322,Software Engineering and AI Fundamentals,OE,1.0,2.0,0.5,1.0,32.5,E0
323,Databases and Information Systems,MC,2.0,2.0,1.0,1.0,100.0,E0
324,Software Engineering and AI Fundamentals,MS,0.0,0.5,0.0,0.25,0.0,"E1, E7"
325,Software Engineering and AI Fundamentals,MS,0.0,1.5,0.0,0.75,0.0,"E0, E3"
326,Software Engineering and AI Fundamentals,MS,1.0,1.5,0.5,0.75,41.25,"E0, E2"
327,Data Structures and Algorithms,FB,2.0,2.0,1.0,1.0,100.0,E0
